match_000001,2022-10-18,San_Francisco,1900,Team_000003,Team_000001,123,109
match_000002,2022-10-20,Los_Angeles,1900,Team_000004,Team_000001,103,97
match_000003,2022-10-22,Sacramento,1900,Team_000002,Team_000004,109,111
match_000004,2022-10-23,San_Francisco,1730,Team_000003,Team_000002,130,125
match_000005,2022-11-07,San_Francisco,1900,Team_000003,Team_000002,116,113
match_000006,2022-11-09,Los_Angeles,1900,Team_000001,Team_000004,101,114
match_000007,2022-11-11,Los_Angeles,1930,Team_000001,Team_000002,114,120
match_000008,2022-11-13,Sacramento,1800,Team_000002,Team_000003,122,115
match_000009,2022-11-23,San_Francisco,1900,Team_000003,Team_000004,124,107
match_000010,2022-12-03,Los_Angeles,1300,Team_000004,Team_000002,96,123
match_000011,2022-12-21,Sacramento,1900,Team_000002,Team_000001,134,120
match_000012,2023-01-07,Sacramento,1900,Team_000002,Team_000001,134,136
match_000013,2023-01-24,Los_Angeles,1900,Team_000001,Team_000004,115,133
match_000014,2023-02-11,San_Francisco,1730,Team_000003,Team_000001,103,109
match_000015,2023-02-14,Los_Angeles,1900,Team_000004,Team_000003,134,124
match_000016,2023-02-23,Los_Angeles,1900,Team_000001,Team_000003,124,111
match_000017,2023-02-24,Los_Angeles,1930,Team_000004,Team_000002,175,176
match_000018,2023-03-02,San_Francisco,1900,Team_000003,Team_000004,115,91
